#;Nome;E-mail;"CPF / CNPJ";Empresa;"Profissão / Cargo";Telefone;Cidade;Estado;País;Status;"Estágio do Funil";"Título do Negócio";"Valor do Negócio";Conversões;"Última Conversão";Domínio;"Data de Cadastro";URL
704961;"Lydia Langworth";gfeeney@yahoo.com;64703363;"Erdman Ltd";"Rerum Non Aut Quidem Eveniet Tempore.";"374-921-6445 x578";"South Jessica";Connecticut;Honduras;Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/ayKjmYdaqN
704962;"Dave Graham";ferry.jarod@mckenzie.info;94471690;"Lynch Inc";"Quidem Ipsum Aut Aperiam.";"(768) 949-3415 x67233";Chaddstad;Michigan;"San Marino";Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/LAK9XZVpqn
704963;"Joana Rippin";swift.ryan@hotmail.com;7;"Leannon PLC";"Iste Enim Sed Cum Nihil.";"623-878-7927 x0032";Oswaldside;Colorado;Jamaica;Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/alGZYQJeoZ
704964;"Augustus Borer";tmills@rodriguez.net;1527705;"Cole, Kreiger and Schuppe";"Commodi Atque Quae Ipsa Ullam Omnis Omnis.";"(574) 789-0335 x08409";"North Archborough";"West Virginia";Bhutan;Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/Xrq28Z3loe
704965;"Madyson Kilback";price.april@gmail.com;851934210;"Cummings, O'Connell and Waters";"Eaque Et Culpa Deserunt Rerum.";"1-292-618-9300 x319";"West Sarina";Massachusetts;Colombia;Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/ldoWLbNkG0
704966;"Myrna Zieme";ebert.clyde@yahoo.com;478049930;Gleason-Rippin;"Dolorum Ab Explicabo Ea Sapiente Qui Consequatur Expedita.";+1-741-821-2869;Rupertchester;Kansas;Ecuador;Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/bnqDAmONKD
704967;"Shania Ziemann";demarcus.leuschke@dietrich.com;7162409;Sauer-Langosh;"Minus Consequatur Tempore Non Corrupti.";827.556.5121;Abbiestad;Kentucky;Sweden;Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/dNGJMzOZo4
704968;"Gayle Beahan";bwisozk@stamm.com;555143075;"Upton, Mraz and Sipes";"Tenetur Tempore Qui Eaque Ad Minima Ut.";"489.492.5629 x8696";"South Bradford";Massachusetts;"Equatorial Guinea";Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/OEKkAE81G6
704969;"Telly Okuneva";ywilliamson@emmerich.net;784;"Schneider, Kirlin and Wuckert";"Sed Sit Est Placeat.";+1-479-594-8582;"East Mariamland";Tennessee;Swaziland;Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/eLKVMbeOqa
704970;"Trevor Ernser";breana.greenholt@ferry.biz;5786;Effertz-Schmidt;"Unde Aut Qui Voluptas Aut.";624-607-8421;Wiegandborough;Texas;Uganda;Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/d4G7XZ3Pq0
